q_MeV,spectrum,step_MeV,total_flux
0,0,5.04E-03,5.97E+10
0.00504,1,,
0.01008,1,,
0.01512,1,,
0.02016,1,,
0.0252,1,,
0.03024,1,,
0.03528,1,,
0.04032,1,,
0.04537,1,,
0.05041,1,,
0.05545,1,,
0.06049,1,,
0.06553,1,,
0.07057,1,,
0.07561,1,,
0.08065,1,,
0.08569,1,,
0.09073,1,,
0.09577,1,,
0.10081,1,,
0.10585,1,,
0.11089,1,,
0.11593,1,,
0.12097,1,,
0.12601,1,,
0.13106,1,,
0.1361,1,,
0.14114,1,,
0.14618,1,,
0.15122,1,,
0.15626,1,,
0.1613,1,,
0.16634,1,,
0.17138,1,,
0.17642,1,,
0.18146,1,,
0.1865,1,,
0.19154,1,,
0.19658,1,,
0.20162,1,,
0.20666,1,,
0.21171,1,,
0.21675,1,,
0.22179,1,,
0.22683,1,,
0.23187,1,,
0.23691,1,,
0.24195,1,,
0.24699,1,,
0.25203,1,,
0.25707,1,,
0.26211,1,,
0.26715,1,,
0.27219,1,,
0.27723,1,,
0.28227,1,,
0.28731,1,,
0.29235,1,,
0.2974,1,,
0.30244,1,,
0.30748,1,,
0.31252,1,,
0.31756,1,,
0.3226,1,,
0.32764,1,,
0.33268,1,,
0.33772,1,,
0.34276,1,,
0.3478,1,,
0.35284,1,,
0.35788,1,,
0.36292,1,,
0.36796,1,,
0.373,1,,
0.37804,1,,
0.38309,1,,
0.38813,1,,
0.39317,1,,
0.39821,1,,
0.40325,1,,
0.40829,1,,
0.41333,1,,
0.41837,1,,
0.42341,1,,
100,0,,
